Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,Column65,Column66,Column67,Column68,Column69,Column70,Column71,Column72,Column73,Column74,Column75,Column76,Column77,Column78,Column79,Column80,Column81,Column82,Column83,Column84,Column85,Column86,Column87,Column88,Column89,Column90,Column91,Column92,Column93,Column94,Column95,Column96,Column97,Column98,Column99,Column100,Column101,Column102,Column103,Column104,Column105,Column106,Column107,Column108,Column109,Column110,Column111,Column112,Column113,Column114,Column115,Column116,Column117,Column118,Column119,Column120,Column121,Column122,Column123,Column124,Column125,Column126,Column127,Column128,Column129,Column130,Column131,Column132,Column133,Column134,Column135,Column136,Column137,Column138,Column139,Column140,Column141,Column142,Column143,Column144,Column145,Column146,Column147,Column148,Column149,Column150,Column151,Column152,Column153,Column154,Column155,Column156,Column157,Column158,Column159
What type of apps are you building? (check all that apply),,,,,,,,,What version of .NET are you currently targeting (check all that apply),,,,,,,,,,,,Which .NET App Models do you use? (check all that apply),,,,,,,,,,,,,,,What SPA framework are you using? (check all that apply),,,,,,,What development tools do you use? (check all that apply),,,,,,,What languages are you currently using? (check all that apply),,,,,,,,,,,,What languages have you used in the last year? (check all that apply),,,,,,,,,,,,What languages are you interested in learning? (check all that apply),,,,,,,,,,,,Which cloud providers do you use? (check all that apply),,,,,,,,What NuGet packages do you use most? (Please list),How familiar are you with .NET Foundation?,"Overall, how do you rate .NET Foundation?",Which of the following organizations have you heard of?,,,,,,,,How would you describe your overall opinion of the .NET Foundation?,How has your perception of .NET Foundation changed in the past 3 months?,"In your own words, what are the things that you like most about .NET Foundation?","In your own words, what are the things that you would most like to improve in the .NET Foundation?","Thinking about the .NET Foundation mission statement (see above), which of the following best describes your feelings about it?",The mission statement is believable.,The mission statement is relevant to my wants and needs.,Which of these factors are important to you when you think about the value of .NET Foundation? (Please rank in order of importance to you.),,,,,,Please describe your role in open source (check all that apply),,,,,Have you ever contributed to a .NET Foundation Open Source Project?,Are you familiar with .NET Foundation Open Source Projects?,"Do you now, or have you ever used any .NET Foundation Open Source Projects?",Does your company allow the use of non-Microsoft supported open source?,"If you answered No to above, Why? ","Does your company allow the use of non-Corporate (i.e. Google, Oracle, Apache Foundation, Linux Foundation) supported open source?","If you answered No to above, why?",What is your gender?,,In what region do you reside?,,What was your income before taxes during the last 12 months in USD?,How many people are employed at your company?,How many people are on your development team?,How many years have you been writing .NET code?,Which of the following best describe you? (check all that apply),,,,,,,,,,,,,,,,,,,,
Console apps,Games,Libraries,Microservices,Mobile apps,Native desktop apps,Web apps,Web services / APIs,Other (please specify),.NET Framework 3.5 or earlier,.NET Framework 4.0 – 4.7.2,.NET Framework 4.8,.NET Core 2.0 or earlier,.NET Core 2.1 LTS,.NET Core 2.2,.NET Core 3.0,.NET Core 3.1 LTS,.NET 5,Mono / Xamarin,UWP,Other (please specify),Entity Framework,ASP.NET MVC,ASP.NET Web API,ASP.NET Blazor,ASP.NET SignalR,ASP.NET WebForms,ASP.NET Razor Pages,Xamarin,ML.NET,Windows Forms (WinForms),Windows Presentation Foundation (WPF),Universal Windows Platform (UWP),Windows Communication Foundation (WCF),Unity,Other (please specify),Angular,Blazor,React,Vue,None,Not writing single-page apps,Other (please specify),Visual Studio,Visual Studio Code,Visual Studio for Mac,.NET Command Line Interface (CLI),JetBrains Rider,GitHub,Other (please specify),C#,VB.NET,F#,TypeScript,JavaScript,Java,C++,Python,Go,Rust,Dart,Other (please specify),C#,VB.NET,F#,TypeScript,JavaScript,Java,C++,Python,Go,Rust,Dart,Other (please specify),C#,VB.NET,F#,TypeScript,JavaScript,Java,C++,Python,Go,Rust,Dart,Other (please specify),Amazon Web Services,Google Cloud Platform,Microsoft Azure,Oracle Cloud,Alibaba Cloud,IBM Cloud,None,Other (please specify),Open-Ended Response,Response,Response,Apache Foundation,Cloud Native Computing Foundation (CNCF),Eclipse Foundation,Linux Foundation,OpenJS Foundation,.NET Foundation,None of the above,Other (please specify),Response,Response,Open-Ended Response,Open-Ended Response,Response,Response,Response,"Promote the broad spectrum of software available to .NET developers through NuGet.org, GitHub, etc.",Advocate for the needs of all .NET open source developers in the community,Evangelize the benefits of the .NET platform to a wider community of developers,Promote the benefits of the open source model to developers already using .NET,"Offer administrative support & professional services for member projects (doc writing, graphic design, legal, infrastructure, etc.)",Support .NET community events with sponsorship and content,Maintainer (leads an open source project),"Contributor (contributes code, logs issues, etc.)",Consumer (downloads and uses),Sponsor (financial support),Other (please specify),Response,Response,Response,Response,Open-Ended Response,Response,Open-Ended Response,Response,Other (please specify),Response,Other (please specify),Response,Response,Response,Response,Business analyst,Data analyst,Data scientist,Database adminstrator,Designer,"Developer, backend","Developer, devices","Developer, enterprise","Developer, frontend","Developer, fullstack","Developer, games","Developer, mobile","Developer, DevOps",Educator,Site engineer,Researcher,Marketing or sales professional,Product manager,"Executive (CXO, VP, etc.)",Systems admin,Other (please specify)
,,,,Mobile apps,,,,,,,,,,,.NET Core 3.0,,,,,,,,,,,,,Xamarin,,,,,,,,,,,,,Not writing single-page apps,,Visual Studio,,Visual Studio for Mac,,,GitHub,,C#,,,,,,,,,,,,C#,,,,,,,,,,,,,,,,,,,Python,Go,,,,Amazon Web Services,Google Cloud Platform,Microsoft Azure,,,,,,,Somewhat familiar,Approve,,,,,,.NET Foundation,,,Met expectations,Met expectations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Native desktop apps,Web apps,Web services / APIs,,,.NET Framework 4.0 – 4.7.2,,,,.NET Core 2.2,,,,,,,Entity Framework,,ASP.NET Web API,,,,,,,,,,,,,,,,Vue,None,,,Visual Studio,Visual Studio Code,,,,,,C#,,,TypeScript,JavaScript,,,,,,Dart,,C#,,,TypeScript,JavaScript,,,,,,Dart,,,,F#,,,,,,,,,,Amazon Web Services,,Microsoft Azure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Console apps,,Libraries,,,Native desktop apps,Web apps,Web services / APIs,,,.NET Framework 4.0 – 4.7.2,.NET Framework 4.8,,,,,,.NET 5,Mono / Xamarin,UWP,,Entity Framework,ASP.NET MVC,ASP.NET Web API,,ASP.NET SignalR,ASP.NET WebForms,,Xamarin,,Windows Forms (WinForms),Windows Presentation Foundation (WPF),Universal Windows Platform (UWP),Windows Communication Foundation (WCF),,,Angular,,React,,,,,Visual Studio,Visual Studio Code,,.NET Command Line Interface (CLI),,GitHub,,C#,VB.NET,,TypeScript,JavaScript,,,,,,,,C#,VB.NET,,,,,,,,,,,,,,,,,,Python,,Rust,,,,,,,,,None,,,Somewhat familiar,Approve,,,,,,,None of the above,,Met expectations,Met expectations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Web apps,,,,.NET Framework 4.0 – 4.7.2,,,,,,,,,,,,,,,,ASP.NET WebForms,ASP.NET Razor Pages,,,,,,,,,,,,,,Not writing single-page apps,,Visual Studio,,,,,,,,VB.NET,,,,Java,,,,,,,,VB.NET,,,JavaScript,Java,,Python,,,,,C#,,,,,,,,,,,,,,Microsoft Azure,,,,,,,Not so familiar,Neither approve nor disapprove,Apache Foundation,,,Linux Foundation,,.NET Foundation,,,Met expectations,Met expectations,,,Approve,Agree,Strongly agree,3,4,2,1,5,6,,,Consumer (downloads and uses),,,No,No,No,Yes,,Yes,,Male,,Australia/Oceania,,"Between $50,000 and $74,999",1,1,1 to 4 years,,,,Database adminstrator,,,,,,,,,,,,,,,,,
,,Libraries,Microservices,Mobile apps,,Web apps,Web services / APIs,,,,,,,,,.NET Core 3.1 LTS,.NET 5,Mono / Xamarin,,,Entity Framework,,ASP.NET Web API,ASP.NET Blazor,ASP.NET SignalR,,,Xamarin,,,,,,,,Angular,Blazor,,,,,,Visual Studio,Visual Studio Code,Visual Studio for Mac,,JetBrains Rider,,,C#,,,TypeScript,JavaScript,,,,,,,,C#,,,TypeScript,JavaScript,,,,,,,,C#,,F#,TypeScript,JavaScript,,,Python,,,,,,,Microsoft Azure,,,IBM Cloud,,,Newton json,Somewhat familiar,Approve,Apache Foundation,,,Linux Foundation,OpenJS Foundation,.NET Foundation,,,Met expectations,Met expectations,Hard work,More support to libraries,Approve,Agree,Agree,4,1,6,3,2,5,Maintainer (leads an open source project),,Consumer (downloads and uses),,,No,Yes,Yes,Yes,Tt,Yes,Tt,Male,,Europe,,"Between $30,000 and $49,999","10,000+",Nov-50,10 to 14 years,,,,,,,,"Developer, enterprise",,"Developer, fullstack",,"Developer, mobile","Developer, DevOps",,,,,,,,
Console apps,,,,,Native desktop apps,Web apps,,,,.NET Framework 4.0 – 4.7.2,,,,,,.NET Core 3.1 LTS,.NET 5,,,,,ASP.NET MVC,ASP.NET Web API,,,ASP.NET WebForms,,,,Windows Forms (WinForms),Windows Presentation Foundation (WPF),,Windows Communication Foundation (WCF),,,,,React,,,,Ext.JS,Visual Studio,Visual Studio Code,,.NET Command Line Interface (CLI),,GitHub,,C#,,,,JavaScript,,,Python,,Rust,,,C#,,,TypeScript,JavaScript,,,Python,,,,,,,,TypeScript,,,,Python,,Rust,,,,,,,,,None,,Newtonsoft.Json  ,Very familiar,Strongly approve,Apache Foundation,Cloud Native Computing Foundation (CNCF),,Linux Foundation,,.NET Foundation,,,Met expectations,Met expectations,Technologies are well-integrated; Good community,Needs more clarity about future plans,Strongly approve,Agree,Strongly agree,3,6,1,4,5,2,,"Contributor (contributes code, logs issues, etc.)",Consumer (downloads and uses),,,No,Yes,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Console apps,,Libraries,Microservices,,Native desktop apps,Web apps,Web services / APIs,,,,,,,,,.NET Core 3.1 LTS,.NET 5,,,,,,ASP.NET Web API,ASP.NET Blazor,ASP.NET SignalR,,,,,,,,,,,,Blazor,,,,,,Visual Studio,,,.NET Command Line Interface (CLI),JetBrains Rider,,,C#,,,,,,,Python,,,,Scala,C#,,,,,Java,C++,Python,Go,Rust,,,,,,,,,,,,,,,Amazon Web Services,,Microsoft Azure,,,,,,https://www.nuget.org/packages/Storage.Net/,Somewhat familiar,Neither approve nor disapprove,Apache Foundation,Cloud Native Computing Foundation (CNCF),,Linux Foundation,,.NET Foundation,,,Met expectations,Met expectations,,,Approve,Agree,Agree,,,,,,,Maintainer (leads an open source project),"Contributor (contributes code, logs issues, etc.)",Consumer (downloads and uses),,,No,No,Don't Know,Yes,,,,Male,,Europe,,"Over $150,000",10-Feb,10-Feb,5 to 9 years,Business analyst,Data analyst,Data scientist,Database adminstrator,,"Developer, backend","Developer, devices","Developer, enterprise",,"Developer, fullstack",,"Developer, mobile",,Educator,Site engineer,Researcher,Marketing or sales professional,Product manager,"Executive (CXO, VP, etc.)",Systems admin,
,,,,Mobile apps,,Web apps,Web services / APIs,,,,,,,,,.NET Core 3.1 LTS,.NET 5,Mono / Xamarin,,,Entity Framework,,ASP.NET Web API,,,,ASP.NET Razor Pages,Xamarin,,,,,,Unity,,,,,,,Not writing single-page apps,,Visual Studio,,Visual Studio for Mac,,,,,C#,,,,JavaScript,,,,,,,,C#,,,,JavaScript,,,,,,,,,,,TypeScript,,,,Python,,,,,,,Microsoft Azure,,,,,,,Not at all familiar,Neither approve nor disapprove,Apache Foundation,,Eclipse Foundation,Linux Foundation,,,,,Met expectations,Met expectations,don't know,don't know,Approve,Disagree,Neither agree nor disagree,1,4,3,2,6,5,,,Consumer (downloads and uses),,,No,No,Don't Know,Yes,,Yes,,Prefer not to say,,Europe,,Prefer not to say,"501-1,000",10-Feb,1 to 4 years,,,,,,"Developer, backend","Developer, devices",,,"Developer, fullstack",,"Developer, mobile","Developer, DevOps",,,,,,,,
